Date;AAPL;Tesla;KU2;Facebook
19.12.12;56.99;26.29;28.89;20.63
20.12.12;56.35;26;28.84;20.61
21.12.12;55.82;25.55;28;20.15
27.12.12;54.66;24.93;28.2;19.51
28.12.12;55.43;25.68;27.8;19.71
02.01.13;59.06;26.89;28.58;21.41
03.01.13;59.72;26.95;28.71;21.34
04.01.13;57.85;26.4;28.61;21.93
07.01.13;57.03;26.2;28.28;22.47
08.01.13;57.37;26.14;27.98;22.22
09.01.13;57.17;25.73;27.73;23.33
10.01.13;55.71;25.56;27.19;23.59
11.01.13;55.79;24.64;27.54;23.5
14.01.13;53.57;24.76;28.1;23.35
15.01.13;52.31;25.4;27.95;22.82
16.01.13;54.36;25.31;28.4;22.44
17.01.13;53.94;26.11;28.22;22.62
18.01.13;53.59;25.5;27.92;22.12
21.01.13;54.14;25.83;27.81;22.45
22.01.13;53.71;26.5;27.62;22.94
23.01.13;54.79;26.29;28.35;23.5
24.01.13;48.42;27.46;28.54;23.12
25.01.13;47.25;27.69;28.94;23.65
28.01.13;47.55;28.35;28.63;24.04
29.01.13;48.54;28.46;28.01;23.25
30.01.13;48.34;27.75;27.92;23.01
31.01.13;48.06;27.45;28.75;22.86
01.02.13;47.71;27.85;29.98;22.1
04.02.13;46.97;27.88;29.74;20.93
05.02.13;48.07;28.04;30.1;21.11
06.02.13;48.44;29;31.15;21.34
07.02.13;48.73;29.53;31.68;21.35
08.02.13;50.95;29.6;31.9;21.58
11.02.13;51.29;28.34;31.35;20.96
12.02.13;50.04;28.34;33.01;20.53
13.02.13;49.78;28.73;33.31;21.04
14.02.13;50.2;28.9;34.43;21.27
15.02.13;49.74;27.86;35;21.1
18.02.13;49.47;27.99;34.52;21.15
19.02.13;49.03;28.89;34.99;21.66
20.02.13;48.37;29;35.48;21.41
21.02.13;48.06;26.4;35.1;20.69
22.02.13;48.75;27.47;35.06;20.55
25.02.13;48.67;26.48;34.24;20.86
26.02.13;48.9;25.99;34.47;20.7
27.02.13;48.44;26.95;34.39;20.77
28.02.13;48.74;26.5;34.2;20.3
01.03.13;47.5;26.56;33.93;21.2
04.03.13;46.5;26.43;33.85;21.24
05.03.13;47.22;28.2;35.26;21.33
06.03.13;46.82;28.7;34.79;21.41
07.03.13;46.57;29.52;35.21;21.42
08.03.13;47.5;29.8;34;21.48
11.03.13;47.98;30.02;33.4;21.5
12.03.13;47.17;29.94;32.51;21.31
13.03.13;47.57;30.28;32.26;20.8
14.03.13;47.45;28.76;33.29;20.82
15.03.13;48.27;27.23;33.1;20.39
18.03.13;50.29;27.21;33.29;20.59
19.03.13;50.01;27.5;32.5;20.44
20.03.13;49.93;27.68;32.61;20
21.03.13;50.4;28.6;31.74;19.98
22.03.13;50.69;28.1;31.71;19.84
25.03.13;51.7;29.05;32.2;19.59
26.03.13;51.42;29.5;34.1;19.67
27.03.13;50.59;29.97;33.59;20.37
28.03.13;49.32;29.68;33.94;20.03
02.04.13;48.75;35.09;33.29;20.22
03.04.13;47.98;31.97;32.95;20.34
04.04.13;47.48;32.37;32;20.81
05.04.13;46.4;31.7;31.15;21.05
08.04.13;46.74;31.88;31.27;20.52
09.04.13;46.62;31.02;31.17;20.45
10.04.13;47.58;31.69;32.4;21.25
11.04.13;47.34;32.8;34.3;21.36
12.04.13;47.02;33.55;33.15;20.99
15.04.13;46.16;33.12;33.55;20.3
16.04.13;46;34.9;33.12;20.44
17.04.13;44.28;34.71;32.1;20.27
18.04.13;42.97;36.09;32.26;19.47
19.04.13;42.92;37.98;32.37;19.59
22.04.13;43.37;38.07;32.1;19.92
23.04.13;44.57;39.78;32.86;20.05
24.04.13;44.46;38.4;33.22;19.89
