date,index_level
2012-12-07 00:00:00,111.533198002
2012-12-10 00:00:00,113.086169067
2012-12-11 00:00:00,114.154108779
2012-12-12 00:00:00,113.278109772
2012-12-13 00:00:00,110.532506297
2012-12-14 00:00:00,109.579346834
2012-12-17 00:00:00,110.45645553
2012-12-18 00:00:00,112.477471536
2012-12-19 00:00:00,112.729097659
2012-12-20 00:00:00,112.0402046
2012-12-21 00:00:00,109.703624172
2012-12-27 00:00:00,108.296417297
2012-12-28 00:00:00,109.048124727
2013-01-02 00:00:00,114.441509148
2013-01-03 00:00:00,114.921176395
2013-01-04 00:00:00,113.830409926
2013-01-07 00:00:00,113.20109592
2013-01-08 00:00:00,112.634930782
2013-01-09 00:00:00,112.591499704
2013-01-10 00:00:00,111.199611776
2013-01-11 00:00:00,110.620433768
2013-01-14 00:00:00,110.538033341
2013-01-15 00:00:00,110.107760224
2013-01-16 00:00:00,111.2197529
2013-01-17 00:00:00,111.840725727
2013-01-18 00:00:00,110.157962648
2013-01-21 00:00:00,110.865228437
2013-01-22 00:00:00,111.563362411
2013-01-23 00:00:00,113.288882966
2013-01-24 00:00:00,111.956470359
2013-01-25 00:00:00,112.740513124
2013-01-28 00:00:00,113.475750832
2013-01-29 00:00:00,112.477748753
2013-01-30 00:00:00,111.2572212
2013-01-31 00:00:00,111.898119265
2013-02-01 00:00:00,113.418980462
2013-02-04 00:00:00,111.866508302
2013-02-05 00:00:00,113.180313193
2013-02-06 00:00:00,116.162487906
2013-02-07 00:00:00,117.679000687
2013-02-08 00:00:00,119.189841068
2013-02-11 00:00:00,116.585896884
2013-02-12 00:00:00,118.166050148
2013-02-13 00:00:00,119.3500327
2013-02-14 00:00:00,121.549186699
2013-02-15 00:00:00,120.867505916
2013-02-18 00:00:00,120.237899993
2013-02-19 00:00:00,122.182281994
2013-02-20 00:00:00,122.556348045
2013-02-21 00:00:00,118.314348248
2013-02-22 00:00:00,119.660456226
2013-02-25 00:00:00,117.530130068
2013-02-26 00:00:00,117.275173809
2013-02-27 00:00:00,118.123168205
2013-02-28 00:00:00,117.080392071
2013-03-01 00:00:00,116.947562421
2013-03-04 00:00:00,116.295674798
2013-03-05 00:00:00,120.772087182
2013-03-06 00:00:00,120.551456212
2013-03-07 00:00:00,122.014078484
2013-03-08 00:00:00,120.991030849
2013-03-11 00:00:00,120.577025946
2013-03-12 00:00:00,118.688558596
2013-03-13 00:00:00,118.47436349
2013-03-14 00:00:00,118.210172231
2013-03-15 00:00:00,116.176038912
2013-03-18 00:00:00,117.432388351
2013-03-19 00:00:00,116.368160289
2013-03-20 00:00:00,116.355101966
2013-03-21 00:00:00,116.311715442
2013-03-22 00:00:00,115.703750606
2013-03-25 00:00:00,117.737837319
2013-03-26 00:00:00,120.995108364
2013-03-27 00:00:00,120.992558266
2013-03-28 00:00:00,120.376235943
2013-04-02 00:00:00,125.542995574
2013-04-03 00:00:00,121.235831732
2013-04-04 00:00:00,120.461411841
2013-04-05 00:00:00,118.18223108
2013-04-08 00:00:00,118.287676108
2013-04-09 00:00:00,117.048093369
2013-04-10 00:00:00,120.658882468
2013-04-11 00:00:00,124.714130115
2013-04-12 00:00:00,123.457780335
2013-04-15 00:00:00,122.648224135
2013-04-16 00:00:00,124.103122883
2013-04-17 00:00:00,121.533872554
2013-04-18 00:00:00,122.174443985
2013-04-19 00:00:00,124.579733554
2013-04-22 00:00:00,124.734556465
2013-04-23 00:00:00,128.417861542
2013-04-24 00:00:00,127.190835656
2013-04-25 00:00:00,129.905147469
2013-04-26 00:00:00,129.992836021
2013-04-29 00:00:00,133.783943023
2013-04-30 00:00:00,135.767902849
2013-05-02 00:00:00,135.586257809
